conference	paper_title	doi	author	author_url	author_position
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Explainable Recommendation via Multi-Task Learning in Opinionated Text Data	10.1145/3209978.3210010	Hongning Wang	https://dl.acm.org/author_page.cfm?id=81466648782	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Explainable Recommendation via Multi-Task Learning in Opinionated Text Data	10.1145/3209978.3210010	Yiling Jia	https://dl.acm.org/author_page.cfm?id=99659281272	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Explainable Recommendation via Multi-Task Learning in Opinionated Text Data	10.1145/3209978.3210010	Yue Yin	https://dl.acm.org/author_page.cfm?id=99659281612	4
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Sentiment Analysis of Peer Review Texts for Scholarly Papers	10.1145/3209978.3210056	Ke Wang	https://dl.acm.org/author_page.cfm?id=99659281061	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Sentiment Analysis of Peer Review Texts for Scholarly Papers	10.1145/3209978.3210056	Xiaojun Wan	https://dl.acm.org/author_page.cfm?id=81339534515	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Session details: Session 2B: Social	10.1145/3258673	Vanessa Murdock	https://dl.acm.org/author_page.cfm?id=81100129965	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Attentive Recurrent Social Recommendation	10.1145/3209978.3210023	Peijie Sun	https://dl.acm.org/author_page.cfm?id=99659281681	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Attentive Recurrent Social Recommendation	10.1145/3209978.3210023	Le Wu	https://dl.acm.org/author_page.cfm?id=99659045608	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Attentive Recurrent Social Recommendation	10.1145/3209978.3210023	Meng Wang	https://dl.acm.org/author_page.cfm?id=81550490356	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Mention Recommendation for Multimodal Microblog with Cross-attention Memory Network	10.1145/3209978.3210026	Renfeng Ma	https://dl.acm.org/author_page.cfm?id=99659281526	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Mention Recommendation for Multimodal Microblog with Cross-attention Memory Network	10.1145/3209978.3210026	Qi Zhang	https://dl.acm.org/author_page.cfm?id=99658671959	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Mention Recommendation for Multimodal Microblog with Cross-attention Memory Network	10.1145/3209978.3210026	Jiawen Wang	https://dl.acm.org/author_page.cfm?id=99659232530	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Mention Recommendation for Multimodal Microblog with Cross-attention Memory Network	10.1145/3209978.3210026	Lizhen Cui	https://dl.acm.org/author_page.cfm?id=99659281443	4
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Mention Recommendation for Multimodal Microblog with Cross-attention Memory Network	10.1145/3209978.3210026	Xuanjing Huang	https://dl.acm.org/author_page.cfm?id=99658687850	5
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Learning Geo-Social User Topical Profiles with Bayesian Hierarchical User Factorization	10.1145/3209978.3210044	Haokai Lu	https://dl.acm.org/author_page.cfm?id=81508699314	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Learning Geo-Social User Topical Profiles with Bayesian Hierarchical User Factorization	10.1145/3209978.3210044	Wei Niu	https://dl.acm.org/author_page.cfm?id=99658753893	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Learning Geo-Social User Topical Profiles with Bayesian Hierarchical User Factorization	10.1145/3209978.3210044	James Caverlee	https://dl.acm.org/author_page.cfm?id=81100230567	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Session details: Session 2C: App Search & Recommendation	10.1145/3258674	Tat-Seng Chua	https://dl.acm.org/author_page.cfm?id=99659281891	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Target Apps Selection: Towards a Unified Search Framework for Mobile Devices	10.1145/3209978.3210039	Mohammad Aliannejadi	https://dl.acm.org/author_page.cfm?id=99659037739	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Target Apps Selection: Towards a Unified Search Framework for Mobile Devices	10.1145/3209978.3210039	Hamed Zamani	https://dl.acm.org/author_page.cfm?id=99658654604	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Target Apps Selection: Towards a Unified Search Framework for Mobile Devices	10.1145/3209978.3210039	Fabio Crestani	https://dl.acm.org/author_page.cfm?id=81100211564	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Target Apps Selection: Towards a Unified Search Framework for Mobile Devices	10.1145/3209978.3210039	W. Bruce Croft	https://dl.acm.org/author_page.cfm?id=81100652508	4
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Session details: Session 2D: Conversational Systems	10.1145/3258675	Jian-Yun Nie	https://dl.acm.org/author_page.cfm?id=99659280663	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Dialogue Act Recognition via CRF-Attentive Structured Network	10.1145/3209978.3209997	Zheqian Chen	https://dl.acm.org/author_page.cfm?id=99659153304	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Dialogue Act Recognition via CRF-Attentive Structured Network	10.1145/3209978.3209997	Rongqin Yang	https://dl.acm.org/author_page.cfm?id=99659281374	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Dialogue Act Recognition via CRF-Attentive Structured Network	10.1145/3209978.3209997	Zhou Zhao	https://dl.acm.org/author_page.cfm?id=99659281359	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Dialogue Act Recognition via CRF-Attentive Structured Network	10.1145/3209978.3209997	Deng Cai	https://dl.acm.org/author_page.cfm?id=99659137248	4
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Dialogue Act Recognition via CRF-Attentive Structured Network	10.1145/3209978.3209997	Xiaofei He	https://dl.acm.org/author_page.cfm?id=99659281191	5
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Conversational Recommender System	10.1145/3209978.3210002	Yueming Sun	https://dl.acm.org/author_page.cfm?id=99659069560	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Conversational Recommender System	10.1145/3209978.3210002	Yi Zhang	https://dl.acm.org/author_page.cfm?id=99659280748	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Response Ranking with Deep Matching Networks and External Knowledge in Information-seeking Conversation Systems	10.1145/3209978.3210011	Liu Yang	https://dl.acm.org/author_page.cfm?id=99659049099	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Response Ranking with Deep Matching Networks and External Knowledge in Information-seeking Conversation Systems	10.1145/3209978.3210011	Minghui Qiu	https://dl.acm.org/author_page.cfm?id=99659217699	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Response Ranking with Deep Matching Networks and External Knowledge in Information-seeking Conversation Systems	10.1145/3209978.3210011	Chen Qu	https://dl.acm.org/author_page.cfm?id=99659280519	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Response Ranking with Deep Matching Networks and External Knowledge in Information-seeking Conversation Systems	10.1145/3209978.3210011	Jiafeng Guo	https://dl.acm.org/author_page.cfm?id=81363593975	4
